DisplayName , LogicalName , PrimaryIdAttribute , PrimaryNameAttribute
Swarm role , msdyn_swarmrole , msdyn_swarmroleid , msdyn_name
Swarm skill , msdyn_swarmskill , msdyn_swarmskillid , msdyn_name
Swarm template , msdyn_swarmtemplate , msdyn_swarmtemplateid , msdyn_name
msdyn_systemuser_msdyn_omnichannelqueue , msdyn_systemuser_msdyn_omnichannelqueue , msdyn_systemuser_msdyn_omnichannelqueueid , 
System User Scheduler Setting , msdyn_systemuserschedulersetting , msdyn_systemuserschedulersettingid , msdyn_name
Tagged Record , msdyn_taggedrecord , msdyn_taggedrecordid , msdyn_name
Microsoft Teams chat association entity , msdyn_teamschatassociation , msdyn_teamschatassociationid , msdyn_teamschatassociationname
Microsoft Teams chat suggestion , msdyn_teamschatsuggestion , msdyn_teamschatsuggestionid , msdyn_teamschatsuggestionname
Microsoft Teams Collaboration entity , msdyn_teamscollaboration , msdyn_teamscollaborationid , msdyn_teamname
Teams Dialer Admin settings , msdyn_teamsdialeradminsettings , msdyn_teamsdialeradminsettingsid , msdyn_name
Template For Properties , msdyn_templateforproperties , msdyn_templateforpropertiesid , msdyn_name
Template Parameter , msdyn_templateparameter , msdyn_templateparameterid , msdyn_name
Template Tag (Deprecated) , msdyn_templatetags , msdyn_templatetagsid , msdyn_name
Fulfillment Preference , msdyn_timegroup , msdyn_timegroupid , msdyn_name
Time Group Detail , msdyn_timegroupdetail , msdyn_timegroupdetailid , msdyn_name
Timeline Pin , msdyn_timelinepin , msdyn_timelinepinid , msdyn_name
Time spent in BPF , msdyn_timespent , msdyn_timespentid , msdyn_timespentname
Tour , msdyn_tour , msdyn_tourid , msdyn_displayname
Training Result , msdyn_trainingresult , msdyn_trainingresultid , msdyn_name
Transaction Origin , msdyn_transactionorigin , msdyn_transactionoriginid , msdyn_name
Transcript , msdyn_transcript , msdyn_transcriptid , msdyn_name
Routing diagnostic item , msdyn_unifiedroutingdiagnostic , msdyn_unifiedroutingdiagnosticid , msdyn_name
Routing diagnostic , msdyn_unifiedroutingrun , msdyn_unifiedroutingrunid , msdyn_name
Unified Routing Setup Tracker , msdyn_unifiedroutingsetuptracker , msdyn_unifiedroutingsetuptrackerid , msdyn_name
UntrackedAppointment , msdyn_untrackedappointment , msdyn_untrackedappointmentid , msdyn_name
Upgrade Run , msdyn_upgraderun , msdyn_upgraderunid , msdyn_summary
Upgrade Step , msdyn_upgradestep , msdyn_upgradestepid , msdyn_name
Upgrade Version , msdyn_upgradeversion , msdyn_upgradeversionid , msdyn_summary
UR notification template , msdyn_urnotificationtemplate , msdyn_urnotificationtemplateid , msdyn_name
UR Notification Template Mapping , msdyn_urnotificationtemplatemapping , msdyn_urnotificationtemplatemappingid , msdyn_name
Usage Metric , msdyn_usagemetric , msdyn_usagemetricid , msdyn_featurename
Sales usage reporting , msdyn_usagereporting , msdyn_usagereportingid , msdyn_userId
User settings , msdyn_usersetting , msdyn_usersettingid , msdyn_name
Virtual Table Column Candidate , msdyn_virtualtablecolumncandidate , msdyn_virtualtablecolumncandidateid , msdyn_externalname
Self service , msdyn_visitorjourney , msdyn_visitorjourneyid , msdyn_displaytitle
Copilot for Sales customer list , msdyn_vivacustomerlist , msdyn_vivacustomerlistid , msdyn_name
msdyn_vivaentitysetting , msdyn_vivaentitysetting , msdyn_vivaentitysettingid , msdyn_name
msdyn_vivaorgextensioncred , msdyn_vivaorgextensioncred , msdyn_vivaorgextensioncredid , msdyn_name
msdyn_vivaorgsetting , msdyn_vivaorgsetting , msdyn_vivaorgsettingid , msdyn_name
msdyn_vivausersetting , msdyn_vivausersetting , msdyn_vivausersettingid , msdyn_name
Wall View , msdyn_wallsavedquery , msdyn_wallsavedqueryid , msdyn_entityname
Filter , msdyn_wallsavedqueryusersettings , msdyn_wallsavedqueryusersettingsid , msdyn_entityname
Warranty , msdyn_warranty , msdyn_warrantyid , msdyn_name
wkwcolleaguesforcompany , msdyn_wkwcolleaguesforcompany , msdyn_wkwcolleaguesforcompanyid , msdyn_introducer_emailaddress
wkwcolleaguesforcontact , msdyn_wkwcolleaguesforcontact , msdyn_wkwcolleaguesforcontactid , msdyn_introducer_emailaddress
wkwconfig , msdyn_wkwconfig , msdyn_wkwconfigid , msdyn_name
Workflow Action Status , msdyn_workflowactionstatus , msdyn_workflowactionstatusid , msdyn_actionname
Work Template , msdyn_workhourtemplate , msdyn_workhourtemplateid , msdyn_name
Work List Suggestion , msdyn_worklistsuggestion , msdyn_worklistsuggestionid , msdyn_name
Work list suggestion source , msdyn_worklistsuggestionsource , msdyn_worklistsuggestionsourceid , msdyn_name
Work List View Configuration , msdyn_worklistviewconfiguration , msdyn_worklistviewconfigurationid , msdyn_name
Work Queue Record , msdyn_workqueuerecord , msdyn_workqueuerecordid , msdyn_primaryname
Work Queue Record State , msdyn_workqueuestate , msdyn_workqueuestateid , msdyn_primaryname
Work list user setting , msdyn_workqueueusersetting , msdyn_workqueueusersettingid , msdyn_name
WQDataSource , msdyn_wqdatasource , msdyn_wqdatasourceid , msdyn_name
BotContent , msdynce_botcontent , msdynce_botcontentid , msdynce_autonumber
AddToCalendar style , msdyncrm_addtocalendarstyle , msdyncrm_addtocalendarstyleid , msdyncrm_name
basestyle , msdyncrm_basestyle , msdyncrm_basestyleid , msdyncrm_name
Button style , msdyncrm_buttonstyle , msdyncrm_buttonstyleid , msdyncrm_name
Code style , msdyncrm_codestyle , msdyncrm_codestyleid , msdyncrm_name
Column style , msdyncrm_columnstyle , msdyncrm_columnstyleid , msdyncrm_name
Content Block , msdyncrm_contentblockstyle , msdyncrm_contentblockstyleid , msdyncrm_name
Divider style , msdyncrm_dividerstyle , msdyncrm_dividerstyleid , msdyncrm_name
General styles , msdyncrm_generalstyles , msdyncrm_generalstylesid , msdyncrm_name
imagestyle , msdyncrm_imagestyle , msdyncrm_imagestyleid , msdyncrm_name
Layout Style , msdyncrm_layoutstyle , msdyncrm_layoutstyleid , msdyncrm_name
QR code style , msdyncrm_qrcodestyle , msdyncrm_qrcodestyleid , msdyncrm_name
Text style , msdyncrm_textstyle , msdyncrm_textstyleid , msdyncrm_name
Video style , msdyncrm_videostyle , msdyncrm_videostyleid , msdyncrm_name
ACS channel instance , msdynmkt_byoacschannelinstance , msdynmkt_byoacschannelinstanceid , msdynmkt_name
ACS channel instance account , msdynmkt_byoacschannelinstanceaccount , msdynmkt_byoacschannelinstanceaccountid , msdynmkt_name
CatalogEventStatusConfiguration , msdynmkt_catalogeventstatusconfiguration , msdynmkt_catalogeventstatusconfigurationid , msdynmkt_name
Configuration , msdynmkt_configuration , msdynmkt_configurationid , msdynmkt_name
Trigger , msdynmkt_eventmetadata , msdynmkt_eventmetadataid , msdynmkt_name
Triggers To Sdk Message Processing Steps , msdynmkt_eventmetadata_sdkmessageprocessingstep , msdynmkt_eventmetadata_sdkmessageprocessingstepid , msdynmkt_name
EventParameterMetadata , msdynmkt_eventparametermetadata , msdynmkt_eventparametermetadataid , msdynmkt_name
msdynmkt_experimentv2 , msdynmkt_experimentv2 , msdynmkt_experimentv2id , msdynmkt_name
Marketing feature configuration , msdynmkt_featureconfiguration , msdynmkt_featureconfigurationid , msdynmkt_name
Infobip channel instance , msdynmkt_infobipchannelinstance , msdynmkt_infobipchannelinstanceid , msdynmkt_name
Infobip channel instance account , msdynmkt_infobipchannelinstanceaccount , msdynmkt_infobipchannelinstanceaccountid , msdynmkt_name
Link mobility channel instance , msdynmkt_linkmobilitychannelinstance , msdynmkt_linkmobilitychannelinstanceid , msdynmkt_name
Link mobility channel instance account , msdynmkt_linkmobilitychannelinstanceaccount , msdynmkt_linkmobilitychannelinstanceaccountid , msdynmkt_name
Metadata Entity Relationship , msdynmkt_metadataentityrelationship , msdynmkt_metadataentityrelationshipid , msdynmkt_name
Metadata Item , msdynmkt_metadataitem , msdynmkt_metadataitemid , msdynmkt_name
Metadata Store State , msdynmkt_metadatastorestate , msdynmkt_metadatastorestateid , msdynmkt_name
MockSmsProvider channel instance , msdynmkt_mocksmsproviderchannelinstance , msdynmkt_mocksmsproviderchannelinstanceid , msdynmkt_name
